session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train4,picture_file
train4,list3,1,Burg_alt,Burg,alt,13,HFP,SP,cblock,building,Burg_alt,burg_alt.png
train4,list3,2,Dach_weiss,Dach,weiss,15,LFP,SN,cblock,building,Dach_schwarz,dach_schwarz.png
train4,list3,3,Fabrik_gross,Fabrik,gross,18,HFP,SP,cblock,building,Fabrik_gross,fabrik_gross.png
train4,list3,4,Frau_rot,Frau,rot,23,LFP,SN,cblock,human,Frau_klein,frau_klein.png
train4,list3,5,Hose_klein,Hose,klein,29,LFP,SP,cblock,clothing,Hose_klein,hose_klein.png
train4,list3,6,Kirche_rot,Kirche,rot,34,LFP,SP,cblock,building,Kirche_rot,kirche_rot.png
train4,list3,7,Mantel_alt,Mantel,alt,39,LFP,SP,cblock,clothing,Mantel_alt,mantel_alt.png
train4,list3,8,Rad_neu,Rad,neu,46,HFP,SN,cblock,etc,Rad_rot,rad_rot.png
train4,list3,9,Apfel_neu,Apfel,neu,1,LFP,SP,cblock,food,Apfel_neu,apfel_neu.png
train4,list3,10,Bett_gross,Bett,gross,4,HFP,SP,cblock,furniture,Bett_gross,bett_gross.png
train4,list3,11,Bild_gruen,Bild,gruen,5,LFP,SN,cblock,furniture,Bild_weiss,bild_weiss.png
train4,list3,12,Brief_alt,Brief,alt,9,HFP,SN,cblock,tool,Brief_neu,brief_neu.png
train4,list3,13,Erde_rot,Erde,rot,17,HFP,SN,cblock,nature,Erde_weiss,erde_weiss.png
train4,list3,14,Flagge_alt,Flagge,alt,21,LFP,SP,cblock,etc,Flagge_alt,flagge_alt.png
train4,list3,15,Glas_rot,Glas,rot,25,LFP,SN,cblock,tool,Glas_weiss,glas_weiss.png
train4,list3,16,Haus_schwarz,Haus,schwarz,26,LFP,SP,cblock,building,Haus_schwarz,haus_schwarz.png
train4,list3,17,Hut_klein,Hut,klein,30,LFP,SP,cblock,clothing,Hut_klein,hut_klein.png
train4,list3,18,Lampe_rot,Lampe,rot,37,HFP,SP,cblock,furniture,Lampe_rot,lampe_rot.png
train4,list3,19,Paket_alt,Paket,alt,42,LFP,SN,cblock,etc,Paket_weiss,paket_weiss.png
train4,list3,20,Pfeil_gruen,Pfeil,gruen,44,HFP,SP,cblock,etc,Pfeil_gruen,pfeil_gruen.png
train4,list3,21,Pflanze_gruen,Pflanze,gruen,45,HFP,SN,cblock,nature,Pflanze_gross,pflanze_gross.png
train4,list3,22,Rock_schwarz,Rock,schwarz,47,HFP,SP,cblock,clothing,Rock_schwarz,rock_schwarz.png
train4,list3,23,Rose_weiss,Rose,weiss,48,HFP,SN,cblock,nature,Rose_klein,rose_klein.png
train4,list3,24,Schale_klein,Schale,klein,49,HFP,SN,cblock,tool,Schale_rot,schale_rot.png
train4,list3,25,Stadion_gruen,Stadion,gruen,51,LFP,SP,cblock,building,Stadion_gruen,stadion_gruen.png
train4,list3,26,Tasse_gross,Tasse,gross,52,HFP,SN,cblock,tool,Tasse_schwarz,tasse_schwarz.png
train4,list3,27,Teppich_rot,Teppich,rot,53,HFP,SP,cblock,furniture,Teppich_rot,teppich_rot.png
train4,list3,28,Tomate_gruen,Tomate,gruen,55,HFP,SP,cblock,vegetable,Tomate_gruen,tomate_gruen.png
train4,list3,29,Tuer_schwarz,Tuer,schwarz,57,LFP,SN,cblock,building,Tuer_alt,tuer_alt.png
train4,list3,30,Wolke_schwarz,Wolke,schwarz,60,HFP,SN,cblock,nature,Wolke_alt,Wolke_alt.png
train4,list3,31,Zelt_alt,Zelt,alt,63,LFP,SN,cblock,building,Zelt_gross,zelt_gross.png
train4,list3,32,Zweig_gruen,Zweig,gruen,65,HFP,SN,cblock,nature,Zweig_alt,zweig_alt.png
train4,list3,33,Zwiebel_rot,Zwiebel,rot,66,HFP,SP,cblock,vegetable,Zwiebel_rot,zwiebel_rot.png
