session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train5,picture_file
train5,list3,1,Baum_schwarz,Baum,schwarz,3,LFP,SN,cblock,nature,Baum_rot,baum_rot.png
train5,list3,2,Bett_gross,Bett,gross,4,HFP,SP,cblock,furniture,Bett_gross,bett_gross.png
train5,list3,3,Bild_gruen,Bild,gruen,5,LFP,SN,cblock,furniture,Bild_rot,bild_rot.png
train5,list3,4,Blume_rot,Blume,rot,7,HFP,SN,cblock,nature,Blume_weiss,blume_weiss.png
train5,list3,5,Bombe_klein,Bombe,klein,8,HFP,SN,cblock,etc,Bombe_weiss,bombe_weiss.png
train5,list3,6,Brief_alt,Brief,alt,9,HFP,SN,cblock,tool,Brief_rot,brief_rot.png
train5,list3,7,Brille_klein,Brille,klein,10,LFP,SP,cblock,etc,Brille_klein,brille_klein.png
train5,list3,8,Bus_neu,Bus,neu,14,HFP,SP,cblock,transportation,Bus_neu,bus_neu.png
train5,list3,9,Erde_rot,Erde,rot,17,HFP,SN,cblock,nature,Erde_gruen,erde_gruen.png
train5,list3,10,Fabrik_gross,Fabrik,gross,18,HFP,SP,cblock,building,Fabrik_gross,fabrik_gross.png
train5,list3,11,Feder_gross,Feder,gross,20,LFP,SN,cblock,etc,Feder_rot,feder_rot.png
train5,list3,12,Flagge_alt,Flagge,alt,21,LFP,SP,cblock,etc,Flagge_alt,flagge_alt.png
train5,list3,13,Geschenk_neu,Geschenk,neu,24,LFP,SN,cblock,etc,Geschenk_gross,geschenk_gross.png
train5,list3,14,Glas_rot,Glas,rot,25,LFP,SN,cblock,tool,Glas_schwarz,glas_schwarz.png
train5,list3,15,Haus_schwarz,Haus,schwarz,26,LFP,SP,cblock,building,Haus_schwarz,haus_schwarz.png
train5,list3,16,Kerze_alt,Kerze,alt,33,LFP,SN,cblock,etc,Kerze_rot,kerze_rot.png
train5,list3,17,Kirche_rot,Kirche,rot,34,LFP,SP,cblock,building,Kirche_rot,kirche_rot.png
train5,list3,18,Kleid_gross,Kleid,gross,35,LFP,SN,cblock,clothing,Kleid_neu,kleid_neu.png
train5,list3,19,Mann_weiss,Mann,weiss,38,HFP,SN,cblock,human,Mann_klein,mann_klein.png
train5,list3,20,Paket_alt,Paket,alt,42,LFP,SN,cblock,etc,Paket_schwarz,paket_schwarz.png
train5,list3,21,Pflanze_gruen,Pflanze,gruen,45,HFP,SN,cblock,nature,Pflanze_alt,pflanze_alt.png
train5,list3,22,Rock_schwarz,Rock,schwarz,47,HFP,SP,cblock,clothing,Rock_schwarz,rock_schwarz.png
train5,list3,23,Rose_weiss,Rose,weiss,48,HFP,SN,cblock,nature,Rose_schwarz,rose_schwarz.png
train5,list3,24,Schale_klein,Schale,klein,49,HFP,SN,cblock,tool,Schale_schwarz,schale_schwarz.png
train5,list3,25,Schuh_weiss,Schuh,weiss,50,LFP,SP,cblock,clothing,Schuh_weiss,schuh_weiss.png
train5,list3,26,Stadion_gruen,Stadion,gruen,51,LFP,SP,cblock,building,Stadion_gruen,stadion_gruen.png
train5,list3,27,Tasse_gross,Tasse,gross,52,HFP,SN,cblock,tool,Tasse_weiss,tasse_weiss.png
train5,list3,28,Teppich_rot,Teppich,rot,53,HFP,SP,cblock,furniture,Teppich_rot,teppich_rot.png
train5,list3,29,Tisch_alt,Tisch,alt,54,LFP,SP,cblock,furniture,Tisch_alt,tisch_alt.png
train5,list3,30,Tomate_gruen,Tomate,gruen,55,HFP,SP,cblock,vegetable,Tomate_gruen,tomate_gruen.png
train5,list3,31,Tuer_schwarz,Tuer,schwarz,57,LFP,SN,cblock,building,Tuer_weiss,tuer_weiss.png
train5,list3,32,Zwiebel_rot,Zwiebel,rot,66,HFP,SP,cblock,vegetable,Zwiebel_rot,zwiebel_rot.png
